user_id,title,title_short,category,final_borda_rank,average_borda_score,total_borda_score,original_position,position_change,is_target,num_trials,original_ndcg_5
A27HCDWXKTI0KA,Solving Crimes: Pioneers of Forensic Science (Lives in Science),Solving Crimes: Pioneers of Forensic Science (Live...,unknown,1,16.15,323.0,2,1,False,20,0.38685280723454163
A27HCDWXKTI0KA,Uneasy in Babylon: Southern Baptist Conservatives and American Culture (Religion and American Culture),Uneasy in Babylon: Southern Baptist Conservatives ...,unknown,2,14.6,292.0,0,-2,False,20,0.38685280723454163
A27HCDWXKTI0KA,Echoes of My African Heart: An Odyssey of Life and Adventure in a Fabled Continent,Echoes of My African Heart: An Odyssey of Life and...,unknown,3,13.65,273.0,7,4,False,20,0.38685280723454163
A27HCDWXKTI0KA,"Naval Chronicles: The Naval Chronicle: The Contemporary Record of the Royal Navy at War, Vol.1: 1793-1798 (The Naval Chronicle , No 1) (Volume 1)",Naval Chronicles: The Naval Chronicle: The Contemp...,unknown,4,13.05,261.0,3,-1,False,20,0.38685280723454163
A27HCDWXKTI0KA,The Twilight Zone Companion,The Twilight Zone Companion,unknown,5,11.95,239.0,12,7,True,20,0.38685280723454163
A27HCDWXKTI0KA,"I Saw France Fall, Will She Rise Again?","I Saw France Fall, Will She Rise Again?",unknown,6,11.45,229.0,11,5,False,20,0.38685280723454163
A27HCDWXKTI0KA,Bobby Flay's Mesa Grill Cookbook: Explosive Flavors from the Southwestern Kitchen,Bobby Flay's Mesa Grill Cookbook: Explosive Flavor...,unknown,7,11.35,227.0,18,11,False,20,0.38685280723454163
A27HCDWXKTI0KA,"Anita Blake: Vampire Hunter Boxed Set: Guilty Pleasures, The Laughing Corpse, Circus of the Damned and The Lunatic Cafe",Anita Blake: Vampire Hunter Boxed Set: Guilty Plea...,unknown,8,11.25,225.0,6,-2,False,20,0.38685280723454163
A27HCDWXKTI0KA,Sensei : the life story of Irene Webster-Smith,Sensei : the life story of Irene Webster-Smith,unknown,9,10.85,217.0,8,-1,False,20,0.38685280723454163
A27HCDWXKTI0KA,Learn Visual C# Professional Edition - A College Prep Programming Tutorial,Learn Visual C# Professional Edition - A College P...,unknown,10,10.7,214.0,14,4,False,20,0.38685280723454163
A27HCDWXKTI0KA,Children of the Lamp #7: The Grave Robbers of Genghis Khan (7),Children of the Lamp #7: The Grave Robbers of Geng...,unknown,11,10.3,206.0,1,-10,False,20,0.38685280723454163
A27HCDWXKTI0KA,Comets (Let'S-Read-And-Find-Out Science Book),Comets (Let'S-Read-And-Find-Out Science Book),unknown,12,9.65,193.0,5,-7,False,20,0.38685280723454163
A27HCDWXKTI0KA,The Jossey-Bass Reader on Contemporary Issues in Adult Education,The Jossey-Bass Reader on Contemporary Issues in A...,unknown,13,9.05,181.0,16,3,False,20,0.38685280723454163
A27HCDWXKTI0KA,A Russian Doll & Other Stories,A Russian Doll & Other Stories,unknown,14,9.0,180.0,13,-1,False,20,0.38685280723454163
A27HCDWXKTI0KA,Walter Warthog's Wonderful Wagon (Animal Antics A to Z),Walter Warthog's Wonderful Wagon (Animal Antics A ...,unknown,15,8.5,170.0,10,-5,False,20,0.38685280723454163
A27HCDWXKTI0KA,Tales of Avalon: Wisdom of the Ancient Marshes,Tales of Avalon: Wisdom of the Ancient Marshes,unknown,16,8.5,170.0,19,3,False,20,0.38685280723454163
A27HCDWXKTI0KA,Their Highest Potential,Their Highest Potential,unknown,17,7.85,157.0,4,-13,False,20,0.38685280723454163
A27HCDWXKTI0KA,Mel Bay Brazilian Jazz Guitar (Book & CD),Mel Bay Brazilian Jazz Guitar (Book & CD),unknown,18,7.5,150.0,17,-1,False,20,0.38685280723454163
A27HCDWXKTI0KA,"Scrapbooking, Time Capsules, Life Story Desktop Videography & Beyond with Poser 5, CorelDRAW ® Graphics Suite 12 & Corel WordPerfect Office Suite 12","Scrapbooking, Time Capsules, Life Story Desktop Vi...",unknown,19,7.4,148.0,15,-4,False,20,0.38685280723454163
A27HCDWXKTI0KA,Tales of Wells Fargo Danger at Mesa Flats A Little Golden Book,Tales of Wells Fargo Danger at Mesa Flats A Little...,unknown,20,7.25,145.0,9,-11,False,20,0.38685280723454163
AMS6J2UF82NN2,Bad Medicine: An Ella Clah Novel (Ella Clah Novels),Bad Medicine: An Ella Clah Novel (Ella Clah Novels...,unknown,1,15.0,300.0,17,16,False,20,0.0
AMS6J2UF82NN2,Cash Out Move On: Get Top Dollar - And More - Selling Your Business,Cash Out Move On: Get Top Dollar - And More - Sell...,unknown,2,14.9,298.0,16,14,False,20,0.0
AMS6J2UF82NN2,Practical Tips for Publishing Scholarly Articles: Writing and Publishing in the Helping Professions,Practical Tips for Publishing Scholarly Articles: ...,unknown,3,14.55,291.0,3,0,False,20,0.0
AMS6J2UF82NN2,Blood Debt (Don Pendleton's Mack Bolan),Blood Debt (Don Pendleton's Mack Bolan),unknown,4,13.85,277.0,13,9,False,20,0.0
AMS6J2UF82NN2,Neutral Shores: Ireland and the Battle of the Atlantic,Neutral Shores: Ireland and the Battle of the Atla...,unknown,5,13.25,265.0,10,5,False,20,0.0
AMS6J2UF82NN2,The Biker Trials: Bringing Down the Hells Angels,The Biker Trials: Bringing Down the Hells Angels,unknown,6,12.5,250.0,8,2,False,20,0.0
AMS6J2UF82NN2,Advocacy Leadership: Toward a Post-Reform Agenda in Education (Critical Social Thought),Advocacy Leadership: Toward a Post-Reform Agenda i...,unknown,7,12.15,243.0,19,12,False,20,0.0
AMS6J2UF82NN2,The Big Burn,The Big Burn,unknown,8,11.9,238.0,0,-8,False,20,0.0
AMS6J2UF82NN2,Instant Memories: Babies: Ready-to-Use Scrapbook Pages,Instant Memories: Babies: Ready-to-Use Scrapbook P...,unknown,9,11.8,236.0,11,2,False,20,0.0
AMS6J2UF82NN2,No Pain No Gain: Training Journal,No Pain No Gain: Training Journal,unknown,10,11.0,220.0,4,-6,False,20,0.0
AMS6J2UF82NN2,Washington Atlas & Gazetteer,Washington Atlas & Gazetteer,unknown,11,9.65,193.0,1,-10,False,20,0.0
AMS6J2UF82NN2,Favorite Animals Coloring Book (Dover Little Activity Books),Favorite Animals Coloring Book (Dover Little Activ...,unknown,12,9.45,189.0,2,-10,False,20,0.0
AMS6J2UF82NN2,Last Woman,Last Woman,unknown,13,9.0,180.0,12,-1,True,20,0.0
AMS6J2UF82NN2,The New Church Kneeler Book: A Step-By-Step Guide to Canvaswork Kneelers,The New Church Kneeler Book: A Step-By-Step Guide ...,unknown,14,8.75,175.0,7,-7,False,20,0.0
AMS6J2UF82NN2,Phrases & sayings,Phrases & sayings,unknown,15,8.15,163.0,14,-1,False,20,0.0
AMS6J2UF82NN2,Philadelphia Cream Cheese Classic Recipes,Philadelphia Cream Cheese Classic Recipes,unknown,16,7.55,151.0,15,-1,False,20,0.0
AMS6J2UF82NN2,"Chemistry with Online ChemSkill Builder, Eighth Edition","Chemistry with Online ChemSkill Builder, Eighth Ed...",unknown,17,7.35,147.0,9,-8,False,20,0.0
AMS6J2UF82NN2,"California, the fabulous island","California, the fabulous island",unknown,18,7.15,143.0,18,0,False,20,0.0
AMS6J2UF82NN2,2014 Mosque Around the World Islamic Calendar Gregorian and Hijra Dates includes a full Quran MP3 Audio CD.,2014 Mosque Around the World Islamic Calendar Greg...,unknown,19,6.1,122.0,5,-14,False,20,0.0
AMS6J2UF82NN2,Seattle Seahawks 2013 Team Calendar,Seattle Seahawks 2013 Team Calendar,unknown,20,5.95,119.0,6,-14,False,20,0.0
A56U3JJ96FK3J,"Addicted to Unhappiness: Free Yourself from Moods and Behaviors That Undermine Relationships, Work, and the Life You Want",Addicted to Unhappiness: Free Yourself from Moods ...,unknown,1,16.1,322.0,1,0,False,20,0.0
A56U3JJ96FK3J,Finding Abigail,Finding Abigail,unknown,2,14.5,290.0,2,0,False,20,0.0
A56U3JJ96FK3J,Beyond Privatopia: Rethinking Residential Private Government (Urban Institute Press),Beyond Privatopia: Rethinking Residential Private ...,unknown,3,14.05,281.0,14,11,False,20,0.0
A56U3JJ96FK3J,To Ruin A Queen : An Ursula Blanchard Mystery at Queen Elizabeth I's Court,To Ruin A Queen : An Ursula Blanchard Mystery at Q...,unknown,4,12.85,257.0,10,6,False,20,0.0
A56U3JJ96FK3J,"The Science of Star Wars: An Astrophysicist's Independent Examination of Space Travel, Aliens, Planets, and Robots as Portrayed in the Star Wars Films and Books",The Science of Star Wars: An Astrophysicist's Inde...,unknown,5,12.85,257.0,11,6,False,20,0.0
A56U3JJ96FK3J,"dot.com dating: finding your right someone online--avoiding the liars, losers, and freaks",dot.com dating: finding your right someone online-...,unknown,6,12.05,241.0,8,2,False,20,0.0
A56U3JJ96FK3J,Beyond the Storm: A Gulf Crisis Reader,Beyond the Storm: A Gulf Crisis Reader,unknown,7,11.8,236.0,5,-2,False,20,0.0
A56U3JJ96FK3J,Yoga (101 Essential Tips),Yoga (101 Essential Tips),unknown,8,11.45,229.0,4,-4,False,20,0.0
A56U3JJ96FK3J,Tears from Kabul,Tears from Kabul,unknown,9,11.4,228.0,19,10,False,20,0.0
A56U3JJ96FK3J,"Jackson & Jenks, Master Magicians","Jackson & Jenks, Master Magicians",unknown,10,10.15,203.0,15,5,False,20,0.0
A56U3JJ96FK3J,How to make biodiesel,How to make biodiesel,unknown,11,9.85,197.0,16,5,False,20,0.0
A56U3JJ96FK3J,The March Up Country: A Translation of Xenophon's Anabasis (Ann Arbor Paperbacks),The March Up Country: A Translation of Xenophon's ...,unknown,12,9.65,193.0,0,-12,False,20,0.0
A56U3JJ96FK3J,Jimmie Rodgers: The Life and Times of America's Blue Yodeler,Jimmie Rodgers: The Life and Times of America's Bl...,unknown,13,9.2,184.0,12,-1,False,20,0.0
A56U3JJ96FK3J,Strange Candy,Strange Candy,unknown,14,9.1,182.0,13,-1,True,20,0.0
A56U3JJ96FK3J,Repercussions from Sexual Sins: The Sexual Revolution has Entered the Church,Repercussions from Sexual Sins: The Sexual Revolut...,unknown,15,8.3,166.0,7,-8,False,20,0.0
A56U3JJ96FK3J,The Liturgy Explained,The Liturgy Explained,unknown,16,8.2,164.0,6,-10,False,20,0.0
A56U3JJ96FK3J,Spider-Man 3: Spider-Man's New Suit,Spider-Man 3: Spider-Man's New Suit,unknown,17,7.8,156.0,3,-14,False,20,0.0
A56U3JJ96FK3J,Mob Stories,Mob Stories,unknown,18,7.7,154.0,9,-9,False,20,0.0
A56U3JJ96FK3J,"Apocalypse 1945, The Destruction of Dresden","Apocalypse 1945, The Destruction of Dresden",unknown,19,6.65,133.0,17,-2,False,20,0.0
A56U3JJ96FK3J,"Angel Silhouette (Laser Cut) Small Boxed Holiday Cards (Christmas Cards, Holiday Cards, Greeting Cards)",Angel Silhouette (Laser Cut) Small Boxed Holiday C...,unknown,20,6.35,127.0,18,-2,False,20,0.0
AXVBGNJDUVPVA,Selling Microsoft: Sales Secrets from Inside the World's Most Successful Company,Selling Microsoft: Sales Secrets from Inside the W...,unknown,1,12.85,257.0,0,-1,False,20,0.0
AXVBGNJDUVPVA,"Hollywood Corral: A Stirring & Nostalgic Tribute to The Sagebrush Sagas That Made Cinema History... The ""B"" Westerns (Big Apple Film Series)",Hollywood Corral: A Stirring & Nostalgic Tribute t...,unknown,2,12.5,250.0,9,7,False,20,0.0
AXVBGNJDUVPVA,Inside Horse Racing: A By-the-Numbers Look at Thoroughbred Racing,Inside Horse Racing: A By-the-Numbers Look at Thor...,unknown,3,12.3,246.0,17,14,False,20,0.0
